name,price,stock
2020 Ford  EcoSport  SES," $27,240",LC343719
2020 Ford  EcoSport  SE," $27,190",LC392760
2020 Ford  EcoSport  SES," $27,516",LC353856
2020 Subaru  Impreza  Sport," $27,050",L3723248
2020 Volkswagen  Jetta GLI  S," $26,914",LM103227
2020 Ford  Escape  SEL," $27,624",LUC73604
2020 Subaru  WRX  Base Trim Level," $27,829",L9825645
2020 Subaru  WRX  Manual," $27,790",L9829225
2020 Ford  EcoSport  SES," $27,658",LC377191
2020 Ford  Escape  SEL," $27,774",LUC37267
2020 Ford  EcoSport  SES," $27,658",LC377546
2020 Ford  EcoSport  SES," $27,658",LC377544
2020 Ford  EcoSport  SES," $27,658",LC377549
2020 Ford  EcoSport  SES," $27,658",LC377543
2020 Ford  EcoSport  SES," $27,658",LC377548
2020 Ford  EcoSport  SES," $27,658",LC376975
2020 Volkswagen  Golf GTI  S," $27,649",LM005984
2020 Ford  Escape  S," $27,630",LUC71759
2020 Ford  EcoSport  SES," $27,658",LC376976
2020 Ford  EcoSport  SES," $27,658",LC377547
2020 Ford  Edge  SE," $28,043",LBB61974
2020 Subaru  WRX  Base Trim Level," $27,926",L9827539
2020 Ford  Edge  SE," $28,043",LBB53295
2020 Ford  Escape  SE," $28,268",LUB62076
2020 Ford  Escape  SE," $28,268",LUC13712
2020 Ford  EcoSport  SES," $28,029",LC364267
2020 Ford  Escape  SE," $28,231",LUB61004
2020 Ford  EcoSport  Titanium," $27,980",LC377617
2020 Ford  EcoSport  SES," $28,021",LC376977
2020 Honda  Accord Sedan  Sport," $27,935",LA134947
2020 Honda  Accord Sedan  Sport," $27,935",LA151736
2020 Ford  EcoSport  SES," $28,021",LC376974
2020 Honda  Accord Sedan  Sport," $27,935",LA153774
2020 Honda  Accord Sedan  Sport," $27,935",LA151269
2020 Honda  Accord Sedan  Sport," $27,935",LA153735
